Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Remote_Work_Ratio_%,Automation_Risk_%,Location,Gender_Diversity_%,Job_Growth_Rate_%
"psychotherapist, dance movement",education,increasing,moderate,69425.52,phd,16.0,23.41,6.24,brazil,63.64,-63.27660446996104
"psychologist, clinical",entertainment,increasing,moderate,147491.1,associate degree,0.0,13.98,55.24,australia,32.5,65.08771929824562
naval architect,manufacturing,increasing,low,100179.82,bachelor's degree,17.0,73.28,13.8,australia,20.07,-4.57213469261662
graphic designer,finance,decreasing,low,71552.15,bachelor's degree,12.0,74.28,68.5,brazil,65.46,-36.41960405601159
"nurse, mental health",entertainment,increasing,low,95326.69,associate degree,4.0,44.86,13.88,china,58.32,-90.59024807527801
"embryologist, clinical",manufacturing,increasing,low,80216.38,associate degree,10.0,45.19,87.64,uk,48.09,909.6348884381339
"surveyor, building",retail,decreasing,moderate,51140.25,high school,18.0,0.72,26.7,china,61.01,341.44235652615544
copy,healthcare,increasing,high,106827.5,master's degree,4.0,85.81,74.9,germany,20.95,-67.8553574404266
"teacher, primary school",healthcare,decreasing,low,132264.34,high school,0.0,25.43,23.46,australia,76.11,24.50873362445415
production engineer,finance,increasing,moderate,34233.18,master's degree,20.0,65.9,90.27,india,24.47,-36.93336974330967
"psychotherapist, dance movement",education,increasing,moderate,142238.0,phd,16.0,56.91,27.27,china,65.9,-82.56141248720573
"nurse, children's",manufacturing,decreasing,high,48844.39,phd,13.0,78.91,99.07,usa,38.53,252.99145299145297
"accountant, chartered management",retail,increasing,high,131737.22,high school,0.0,67.59,84.04,china,76.77,-30.756349427853753
radio producer,finance,decreasing,moderate,36880.77,bachelor's degree,10.0,91.0,23.53,canada,63.92,62.814258911819884
orthoptist,retail,decreasing,low,38333.21,master's degree,15.0,1.36,81.29,china,64.82,-53.766797882448756
food technologist,education,decreasing,low,69540.17,phd,17.0,46.37,28.79,australia,46.87,92.73039496279335
lawyer,finance,decreasing,low,35350.2,associate degree,3.0,82.3,60.5,canada,25.7,990.9594095940959
illustrator,healthcare,increasing,moderate,42976.09,phd,14.0,27.04,52.9,germany,31.27,-80.6288032454361
dance movement psychotherapist,it,decreasing,moderate,115902.25,associate degree,18.0,6.75,24.14,china,26.7,345.61101549053353
"engineer, biomedical",finance,increasing,high,109921.46,master's degree,15.0,83.82,33.33,uk,73.86,-40.79520697167756
"civil engineer, consulting",retail,increasing,moderate,68362.29,master's degree,10.0,10.91,94.4,china,58.76,-97.24584852166869
general practice doctor,manufacturing,increasing,moderate,64695.19,phd,18.0,48.78,42.96,australia,31.23,1889.9408284023668
catering manager,transportation,increasing,high,59718.34,phd,10.0,23.4,93.06,india,42.35,-88.9190884382187
barista,manufacturing,increasing,moderate,61940.5,bachelor's degree,2.0,25.91,58.18,india,70.58,72.3152530032763
"designer, blown glass/stained glass",transportation,increasing,low,115304.54,phd,20.0,38.59,31.73,india,43.3,4.376491985904286
"programme researcher, broadcasting/film/video",entertainment,increasing,high,74818.7,high school,8.0,89.54,24.6,uk,26.52,19.98932004271983
"journalist, newspaper",healthcare,increasing,high,41132.23,master's degree,12.0,55.24,64.31,usa,74.93,48.93685051958433
hydrographic surveyor,manufacturing,decreasing,low,93306.11,high school,2.0,54.11,98.0,uk,44.06,442.7120669056153
"psychologist, clinical",entertainment,increasing,high,48905.8,phd,10.0,60.53,47.81,canada,27.59,-95.00518749073662
museum/gallery curator,education,decreasing,low,97956.73,associate degree,7.0,19.27,31.25,uk,47.02,10.207388204795851
freight forwarder,finance,increasing,low,91333.05,associate degree,17.0,32.44,79.68,usa,41.77,-90.28813559322035
neurosurgeon,retail,increasing,high,112476.25,high school,7.0,72.19,73.15,brazil,34.1,-61.579564707415614
actor,education,increasing,low,148274.97,bachelor's degree,0.0,20.05,65.54,australia,50.61,-55.6334398515617
restaurant manager,finance,decreasing,moderate,133656.84,phd,10.0,59.29,90.66,uk,51.43,336.78678678678676
retail manager,transportation,increasing,moderate,41983.83,master's degree,7.0,37.87,17.8,usa,63.02,0.8303249097472925
operational researcher,healthcare,decreasing,moderate,82141.25,phd,12.0,10.33,94.15,uk,50.63,-61.01653696498055
energy engineer,entertainment,decreasing,low,84813.55,phd,0.0,71.15,72.86,australia,65.27,149.05109489051094
chartered legal executive (england and wales),transportation,decreasing,moderate,75069.54,high school,17.0,41.75,52.81,china,60.51,-55.25518527149848
games developer,it,increasing,high,138697.69,high school,15.0,95.42,87.38,india,47.87,-61.39378918209651
agricultural consultant,manufacturing,decreasing,high,40274.02,bachelor's degree,19.0,32.65,28.24,brazil,71.17,-37.023914968999115
visual merchandiser,transportation,increasing,low,57445.9,phd,8.0,13.86,26.11,uk,30.6,-9.410166860690726
bookseller,retail,increasing,high,77798.21,phd,10.0,65.78,10.58,india,53.49,-62.524549187645064
armed forces operational officer,entertainment,increasing,low,100630.05,high school,9.0,74.29,13.41,india,21.09,454.5319465081723
probation officer,it,decreasing,high,106446.68,high school,1.0,63.14,28.03,uk,27.88,11.394354148845167
"engineer, communications",it,decreasing,moderate,46813.13,master's degree,15.0,49.05,0.22,uk,42.86,5.221588415971917
medical illustrator,it,decreasing,low,76843.93,master's degree,5.0,28.77,80.22,germany,51.15,-33.78250591016548
solicitor,retail,increasing,moderate,37945.02,master's degree,18.0,41.13,46.5,brazil,56.17,-85.33782939927563
"buyer, industrial",education,decreasing,low,84715.58,bachelor's degree,14.0,43.25,42.29,india,57.06,-45.626822157434404
"production designer, theatre/television/film",transportation,increasing,moderate,77664.04,associate degree,13.0,97.98,97.2,canada,20.55,-24.6859391554412
training and development officer,retail,increasing,moderate,122491.67,master's degree,19.0,83.15,42.64,china,71.69,-35.92039800995025
land,it,increasing,high,53026.78,high school,13.0,59.61,58.26,china,43.4,649.8194945848376
private music teacher,healthcare,decreasing,low,103141.69,phd,12.0,11.18,98.88,brazil,70.78,-74.96749793168657
it technical support officer,retail,increasing,moderate,139122.92,phd,18.0,71.75,27.73,china,21.77,-15.77914798206278
site engineer,education,increasing,moderate,39650.85,master's degree,9.0,99.97,90.62,usa,29.52,-65.86736092080022
warehouse manager,healthcare,increasing,moderate,32477.05,bachelor's degree,11.0,89.04,88.13,india,71.02,125.84933530280651
manufacturing systems engineer,manufacturing,increasing,high,40413.27,bachelor's degree,8.0,69.58,38.08,canada,31.58,-5.097056981840952
health and safety adviser,healthcare,decreasing,high,110361.86,phd,6.0,44.46,34.58,germany,78.41,83.6094674556213
"engineer, materials",entertainment,decreasing,high,69090.03,bachelor's degree,17.0,56.41,58.88,brazil,79.3,15.391849529780563
chemical engineer,transportation,increasing,high,147187.79,high school,19.0,4.18,88.29,uk,39.86,-25.267665952890795
arboriculturist,finance,decreasing,moderate,89623.1,master's degree,8.0,27.71,54.2,australia,34.89,-70.38230555148675
associate professor,manufacturing,increasing,high,120070.73,bachelor's degree,20.0,64.71,20.93,brazil,38.59,-38.6305642188829
fine artist,finance,decreasing,low,144136.82,phd,15.0,78.87,94.06,brazil,55.94,83.42415985467757
broadcast engineer,manufacturing,decreasing,low,133770.35,master's degree,0.0,96.13,98.88,china,79.3,15.180265654648956
medical secretary,finance,decreasing,low,101813.29,high school,2.0,9.8,1.74,uk,68.31,406.6408411732152
"teacher, primary school",healthcare,decreasing,low,70708.7,associate degree,7.0,49.03,15.94,brazil,39.84,-22.490281271438374
mining engineer,retail,decreasing,high,54577.21,high school,18.0,92.23,20.09,usa,40.82,-31.115342218659187
"runner, broadcasting/film/video",manufacturing,decreasing,moderate,95816.96,phd,15.0,44.41,70.05,canada,46.14,0.13771733516956447
"education officer, museum",retail,decreasing,high,53636.29,master's degree,20.0,6.57,61.4,australia,74.8,-6.78241319010742
"engineer, automotive",healthcare,increasing,low,76630.43,bachelor's degree,1.0,65.26,76.58,uk,51.79,-23.47826086956522
clothing/textile technologist,entertainment,increasing,moderate,64714.46,master's degree,6.0,48.17,78.32,australia,66.64,196.22700342999687
furniture designer,healthcare,increasing,moderate,75956.57,associate degree,10.0,79.4,24.54,brazil,38.07,-68.21549534292973
pharmacologist,entertainment,increasing,high,42512.39,phd,15.0,80.82,23.45,germany,36.07,-67.0044007778119
medical laboratory scientific officer,healthcare,decreasing,moderate,42323.29,high school,11.0,32.89,38.16,australia,52.68,2304.580152671756
water quality scientist,finance,decreasing,high,93775.18,master's degree,3.0,80.03,67.33,uk,60.68,1211.607142857143
"engineer, broadcasting (operations)",entertainment,increasing,moderate,33058.97,associate degree,0.0,12.17,52.14,germany,43.63,-87.28773952329023
"engineer, manufacturing systems",retail,increasing,low,111122.27,associate degree,7.0,71.75,25.54,india,47.31,-96.12431444241317
"librarian, public",finance,increasing,high,56280.84,high school,19.0,98.26,88.62,germany,31.81,22.80359820089955
"secretary, company",entertainment,decreasing,low,87650.99,associate degree,4.0,28.57,4.25,germany,63.74,-5.951557093425606
"scientist, research (medical)",transportation,increasing,moderate,48851.04,bachelor's degree,15.0,77.56,86.88,china,49.55,1266.8292682926829
games developer,finance,decreasing,moderate,148077.59,associate degree,4.0,5.94,94.01,china,22.12,-75.31132183251457
ambulance person,retail,increasing,moderate,119275.11,master's degree,15.0,8.64,65.67,usa,67.55,-18.60071150262578
theatre stage manager,healthcare,decreasing,moderate,111501.56,associate degree,10.0,57.68,82.26,uk,58.83,-65.49497847919655
information officer,education,increasing,high,88622.8,associate degree,10.0,6.54,14.21,germany,23.71,1443.3962264150944
special educational needs teacher,education,increasing,low,103008.1,bachelor's degree,20.0,14.69,97.36,brazil,23.19,-15.28741584671155
information officer,healthcare,increasing,moderate,64846.7,bachelor's degree,10.0,30.36,96.75,australia,54.28,165.1821862348178
microbiologist,education,increasing,moderate,34167.81,master's degree,12.0,63.89,97.81,germany,29.56,93.80111924235902
"psychologist, forensic",education,increasing,moderate,49767.39,phd,15.0,24.0,50.31,uk,50.54,48.12050856826976
"psychologist, educational",it,increasing,moderate,77943.92,high school,7.0,32.1,80.71,germany,77.26,514.3656716417911
teaching laboratory technician,transportation,decreasing,low,80603.72,associate degree,8.0,3.17,90.93,canada,38.89,-50.21897810218978
claims inspector/assessor,entertainment,decreasing,moderate,115834.59,master's degree,9.0,19.22,68.6,germany,48.03,31.689333114861544
horticultural consultant,education,decreasing,moderate,100693.36,associate degree,9.0,95.97,76.48,brazil,73.67,-60.723839496459476
contracting civil engineer,finance,decreasing,high,107700.1,phd,7.0,4.93,48.99,australia,51.95,97.21048182586645
"engineer, chemical",retail,increasing,low,105038.81,phd,17.0,6.57,45.84,germany,44.01,-4.851867754401031
"engineer, land",it,increasing,high,139008.77,phd,0.0,71.51,68.54,germany,39.78,-51.06584557081951
recruitment consultant,retail,increasing,low,36985.54,master's degree,1.0,55.71,84.21,germany,58.39,-24.491244675816375
health and safety inspector,education,increasing,low,91620.07,phd,13.0,37.33,46.65,canada,30.1,77.44034707158352
chief of staff,finance,increasing,moderate,94376.62,high school,7.0,75.41,39.51,uk,34.28,195.2626641651032
general practice doctor,it,decreasing,high,127019.23,high school,14.0,89.03,98.43,india,26.39,-77.61112626124897
"conservation officer, historic buildings",it,decreasing,high,129008.74,high school,17.0,6.99,95.07,canada,73.43,330.15792154865005
soil scientist,it,increasing,low,119653.76,phd,18.0,87.57,98.53,india,70.46,161.3941018766756
contractor,finance,increasing,high,146042.43,bachelor's degree,4.0,77.88,42.04,usa,75.61,332.98368298368297
environmental manager,manufacturing,increasing,low,56700.47,master's degree,6.0,70.14,70.3,india,21.16,-95.67349293337179
hydrogeologist,retail,increasing,low,123476.42,bachelor's degree,8.0,25.34,70.3,brazil,38.08,1861.016949152542
"investment banker, corporate",it,decreasing,moderate,46463.25,high school,15.0,34.15,61.94,india,53.17,12.554402410445261
agricultural engineer,healthcare,increasing,low,142403.04,master's degree,13.0,25.35,28.78,australia,44.4,449.25373134328356
insurance claims handler,finance,increasing,high,112427.88,associate degree,20.0,60.29,83.66,canada,44.11,-71.25662012518055
"psychologist, sport and exercise",retail,decreasing,low,92300.39,phd,17.0,59.8,68.36,canada,40.06,-71.03818888634804
tax inspector,education,decreasing,low,144115.67,bachelor's degree,3.0,96.21,85.85,canada,49.69,-61.48558334924575
conference centre manager,transportation,increasing,high,118241.97,bachelor's degree,5.0,6.48,65.67,india,45.15,93.48387096774194
psychotherapist,finance,increasing,moderate,117711.88,high school,15.0,79.21,72.34,canada,78.93,15.373782419903767
air traffic controller,education,increasing,low,83924.23,bachelor's degree,3.0,10.87,13.7,usa,48.71,166.25067824199675
"solicitor, scotland",healthcare,increasing,moderate,98096.83,bachelor's degree,17.0,5.98,98.85,germany,56.86,5.433265328036079
risk manager,entertainment,decreasing,moderate,146059.28,associate degree,4.0,29.05,79.35,usa,68.24,-26.96013042833852
"pharmacist, hospital",it,increasing,low,140516.26,phd,7.0,48.42,55.13,germany,69.13,192.8328699413037
educational psychologist,retail,decreasing,high,82525.91,bachelor's degree,10.0,38.25,53.68,germany,36.57,-51.22571692876966
"scientist, research (maths)",entertainment,decreasing,low,43076.36,phd,19.0,25.55,24.04,germany,66.47,15.595003287310979
planning and development surveyor,finance,decreasing,moderate,66995.41,high school,3.0,7.99,62.37,india,76.91,414.4420131291028
public librarian,transportation,increasing,high,63031.39,phd,0.0,73.07,69.36,germany,70.32,-82.14285714285714
early years teacher,education,increasing,moderate,48850.9,associate degree,20.0,58.19,44.16,australia,67.57,7.941483803552769
english as a second language teacher,manufacturing,decreasing,moderate,109081.24,master's degree,10.0,10.19,62.12,usa,46.52,-90.56469920544835
"designer, textile",transportation,decreasing,high,41527.25,associate degree,10.0,59.09,13.34,usa,65.95,-33.086488752270505
fashion designer,retail,decreasing,moderate,64136.66,high school,9.0,13.08,19.18,canada,45.61,92.40143369175627
estate manager/land agent,entertainment,increasing,moderate,131539.52,high school,2.0,15.83,4.78,uk,51.73,-63.43283582089553
geoscientist,healthcare,increasing,low,143763.82,high school,10.0,2.83,64.48,usa,23.44,-72.0526261691849
hospital doctor,entertainment,decreasing,high,137775.5,associate degree,15.0,19.81,99.39,china,66.49,-11.411411411411411
banker,finance,decreasing,low,98775.71,high school,10.0,3.45,64.65,china,32.24,-51.93533697632058
"radiographer, therapeutic",retail,decreasing,high,114132.59,phd,10.0,36.21,74.26,uk,76.17,101.914486279515
"designer, fashion/clothing",it,increasing,high,39734.95,phd,10.0,38.01,28.66,australia,23.81,46.85610640870617
planning and development surveyor,education,increasing,low,145021.86,master's degree,20.0,66.91,49.39,canada,30.53,-44.5785045245277
engineering geologist,healthcare,decreasing,low,100171.74,phd,18.0,42.57,71.3,china,63.32,22.693831352574986
newspaper journalist,transportation,increasing,moderate,130285.47,master's degree,16.0,11.12,19.54,germany,62.45,40.66570188133141
special educational needs teacher,education,increasing,high,31623.32,bachelor's degree,5.0,75.35,10.14,china,44.38,131.65266106442576
nature conservation officer,it,increasing,high,134135.65,associate degree,0.0,60.8,0.15,uk,23.94,56.21039290240811
politician's assistant,education,decreasing,moderate,114839.18,high school,1.0,73.48,20.53,china,70.14,122.63246899661782
tax inspector,entertainment,decreasing,high,79343.62,phd,20.0,69.03,94.5,australia,71.48,-61.11884865366759
historic buildings inspector/conservation officer,healthcare,increasing,low,38023.18,bachelor's degree,11.0,74.35,91.57,india,36.64,2989.4736842105262
dance movement psychotherapist,retail,increasing,moderate,44433.38,high school,17.0,14.45,5.23,china,22.32,-82.7189238132195
community education officer,manufacturing,increasing,low,84599.19,bachelor's degree,11.0,6.05,70.82,china,44.53,258.08270676691734
ceramics designer,manufacturing,decreasing,low,63720.26,bachelor's degree,12.0,55.78,1.28,canada,32.65,-57.69540692989524
surgeon,it,increasing,low,133606.98,high school,5.0,5.61,99.15,australia,36.73,1.6715116279069766
oceanographer,retail,decreasing,high,85617.72,phd,6.0,22.53,41.67,india,56.15,-58.18775742082091
administrator,healthcare,increasing,low,111500.73,phd,1.0,96.32,4.43,uk,46.8,-78.73801688367435
media planner,finance,increasing,moderate,61637.02,bachelor's degree,11.0,88.31,77.2,germany,49.74,-59.2901878914405
office manager,manufacturing,increasing,low,82705.84,master's degree,11.0,96.5,0.78,india,64.22,-18.11859906435706
office manager,finance,decreasing,high,44183.42,phd,8.0,48.34,84.76,india,30.92,-9.73828362751065
database administrator,finance,increasing,moderate,43171.68,phd,7.0,96.7,29.76,china,78.9,-50.82368292285109
dietitian,retail,increasing,low,91169.31,bachelor's degree,8.0,38.17,18.13,china,62.84,-59.7610096670247
barista,transportation,decreasing,high,100721.63,high school,19.0,74.96,97.38,uk,32.55,-63.454017913460326
proofreader,it,increasing,moderate,100755.35,master's degree,2.0,63.24,24.74,india,79.67,102.40641711229948
"engineer, broadcasting (operations)",retail,increasing,high,99197.09,master's degree,2.0,6.69,11.82,canada,56.79,284.03860430586485
seismic interpreter,manufacturing,decreasing,moderate,41978.99,bachelor's degree,18.0,30.72,46.57,australia,32.93,57.425000000000004
international aid/development worker,it,decreasing,moderate,118711.05,associate degree,11.0,47.26,79.4,india,48.73,-7.781914254833673
soil scientist,it,increasing,moderate,44500.73,associate degree,4.0,35.68,84.47,usa,57.49,35.58958214081282
audiological scientist,manufacturing,decreasing,high,104250.38,high school,9.0,27.77,96.54,germany,74.34,243.28793774319064
publishing copy,transportation,increasing,moderate,49082.06,master's degree,5.0,9.04,67.05,brazil,35.69,58.500669344042834
barrister's clerk,finance,decreasing,high,132011.7,high school,20.0,50.43,63.86,australia,37.65,-7.966248914257353
fitness centre manager,entertainment,increasing,moderate,93293.44,master's degree,10.0,31.37,96.79,uk,70.29,-95.84192439862544
"geologist, wellsite",education,decreasing,high,125043.55,phd,16.0,89.35,53.98,brazil,20.28,140.883573346351
special effects artist,healthcare,decreasing,moderate,95367.18,phd,19.0,16.21,30.48,china,45.33,180.88235294117646
"surveyor, quantity",finance,increasing,high,132550.69,phd,3.0,93.67,97.22,india,60.67,3.5298312336581885
health visitor,it,increasing,low,49476.8,bachelor's degree,11.0,18.14,10.67,uk,50.06,23.15079689415611
chief executive officer,transportation,decreasing,high,34262.65,phd,5.0,22.13,5.79,australia,35.01,235.13513513513513
"pharmacist, hospital",finance,increasing,high,86255.67,bachelor's degree,0.0,34.32,7.21,uk,73.54,46.37918215613383
"surveyor, building",transportation,increasing,low,123710.8,associate degree,7.0,55.6,59.58,canada,53.45,23.129596753740806
research scientist (physical sciences),finance,decreasing,low,100226.67,master's degree,17.0,68.23,87.49,canada,37.1,1318.831168831169
insurance claims handler,entertainment,increasing,high,60716.98,master's degree,6.0,32.66,57.22,brazil,76.2,-72.1524201853759
recycling officer,manufacturing,increasing,high,81869.18,associate degree,8.0,12.83,63.32,china,78.33,-64.60067838421215
pension scheme manager,retail,increasing,moderate,77052.61,associate degree,8.0,88.05,89.8,usa,24.5,-13.516176712103794
scientific laboratory technician,manufacturing,increasing,moderate,72130.35,bachelor's degree,5.0,34.79,88.53,china,69.69,-44.693928750627194
archaeologist,healthcare,decreasing,low,41208.02,phd,17.0,52.07,53.3,usa,48.01,717.4660633484164
sub,retail,increasing,low,101011.94,master's degree,4.0,14.44,88.67,china,69.99,-96.25501002004007
water quality scientist,transportation,increasing,high,142192.83,phd,17.0,8.51,21.35,germany,50.68,-20.608026916606583
energy engineer,it,decreasing,high,50888.04,master's degree,17.0,43.12,37.41,brazil,26.71,155.6159420289855
"designer, industrial/product",transportation,increasing,moderate,91740.18,associate degree,9.0,34.86,60.84,india,23.81,-67.24713740458014
jewellery designer,retail,increasing,high,143134.25,bachelor's degree,7.0,45.16,83.93,usa,33.02,-45.78583061889251
insurance claims handler,education,decreasing,moderate,35057.67,phd,9.0,91.85,97.33,usa,31.8,414.2292490118577
armed forces logistics/support/administrative officer,education,increasing,high,62985.91,high school,7.0,77.3,58.82,india,60.7,-52.446421350586334
radio broadcast assistant,education,decreasing,low,101969.48,high school,7.0,12.53,30.29,germany,64.22,-76.28913443830571
solicitor,finance,decreasing,low,145230.37,phd,4.0,84.49,95.18,australia,76.65,-54.33218642477322
ophthalmologist,education,increasing,moderate,146413.49,phd,5.0,61.98,46.98,brazil,76.5,104.6319651456088
meteorologist,manufacturing,decreasing,low,148779.02,high school,1.0,15.47,31.07,china,35.83,-84.42389758179232
tourism officer,healthcare,decreasing,moderate,115330.99,high school,2.0,92.3,85.15,usa,23.48,-2.273251788599123
theatre director,transportation,decreasing,moderate,69913.52,master's degree,12.0,99.65,94.78,brazil,76.66,-31.73048816135633
transport planner,retail,increasing,high,44895.33,associate degree,7.0,41.89,38.2,china,32.37,74.09729187562688
archivist,transportation,decreasing,high,133939.05,phd,2.0,68.79,61.19,canada,44.45,30.807248764415156
web designer,transportation,increasing,high,133107.65,high school,3.0,40.97,35.07,canada,37.24,-6.63687881429817
"production designer, theatre/television/film",entertainment,decreasing,moderate,106700.22,master's degree,16.0,13.36,89.55,usa,51.63,-74.14703940127669
tree surgeon,it,increasing,low,81494.33,bachelor's degree,3.0,93.3,76.47,uk,23.52,-33.78139850644942
sub,manufacturing,increasing,low,87976.9,bachelor's degree,4.0,33.31,84.7,brazil,29.27,10.20293122886133
building control surveyor,it,decreasing,high,135404.18,master's degree,3.0,31.77,18.18,usa,53.79,61.24922311995028
adult guidance worker,education,increasing,high,108355.73,master's degree,15.0,64.83,86.51,china,70.82,-12.590233545647559
structural engineer,transportation,increasing,low,98485.45,high school,2.0,16.56,47.19,china,68.03,-35.58851905451037
"nurse, children's",finance,increasing,moderate,69581.5,bachelor's degree,10.0,54.55,16.79,uk,39.14,-40.28879398006915
music therapist,education,increasing,moderate,35752.27,bachelor's degree,14.0,57.61,3.87,brazil,51.86,-63.700904614679956
